index	name	type	date	mouse	sex	Hes1	Hey1	Hes1_plus_Hey1
1	08-15 10c05	ten-cell	2019-08-15	F8520	female	3.14470591919362	5.74499506707739	8.88970098627101
2	08-28 10c04	ten-cell	2019-08-28	M8518	male	0	4.61844357543972	4.61844357543972
3	07-07 10p01	pooled	2019-07-07	M8516	male	2.13548876062493	6.60228099900627	8.7377697596312
4	09-02 10c14	ten-cell	2019-09-02	M8518	male	0	3.98013916038056	3.98013916038056
5	09-18 10c06	ten-cell	2019-09-18	F8519	female	0	6.71506940923457	6.71506940923457
6	07-07 10p03	pooled	2019-07-07	M8516	male	1.42602480988275	1.14080345292647	2.56682826280921
7	07-16 10c07	ten-cell	2019-07-16	M8516	male	0.465562979156477	3.95163736840239	4.41720034755886
8	07-16 10c02	ten-cell	2019-07-16	M8516	male	0.297120530994831	1.6126858967762	1.90980642777103
9	07-16 10c05	ten-cell	2019-07-16	M8516	male	0	0	0
10	07-16 10p01	pooled	2019-07-16	M8516	male	0	0	0
11	08-12 10c04	ten-cell	2019-08-12	F8520	female	8.02800275757268	0	8.02800275757268
12	08-15 10c07	ten-cell	2019-08-15	F8520	female	2.16377385003816	2.99307810734708	5.15685195738524
13	08-28 10p02	pooled	2019-08-28	M8518	male	1.16355300071179	5.10778305806245	6.27133605877424
14	09-02 10c13	ten-cell	2019-09-02	M8518	male	1.40107409079483	3.6423398892021	5.04341397999693
15	09-16 10c03	ten-cell	2019-09-16	F8519	female	0	0	0
16	09-18 10c05	ten-cell	2019-09-18	F8519	female	0	0	0
17	07-07 10c06	ten-cell	2019-07-07	M8516	male	3.7874407261095	8.49687906941001	12.2843197955195
18	07-16 10c04	ten-cell	2019-07-16	M8516	male	0.36971647264312	0.907887921172645	1.27760439381576
19	08-12 10p06	pooled	2019-08-12	F8520	female	6.58376691733566	1.04720486607184	7.6309717834075
20	09-02 10c12	ten-cell	2019-09-02	M8518	male	0	10.2133015957843	10.2133015957843
21	09-02 10p05	pooled	2019-09-02	M8518	male	0	3.45801801074655	3.45801801074655
22	09-02 10p01	pooled	2019-09-02	M8518	male	0.61785021928433	0	0.61785021928433
23	09-04 10c03	ten-cell	2019-09-04	M8518	male	4.14386115516893	0	4.14386115516893
24	09-18 10p01	pooled	2019-09-18	F8519	female	0.316730207734794	0	0.316730207734794
25	09-23 10c02	ten-cell	2019-09-23	F8519	female	0.592312904315612	1.01101160930489	1.6033245136205
26	07-09 10p07	pooled	2019-07-09	M8516	male	0	0.38111458567992	0.38111458567992
27	07-09 10p05	pooled	2019-07-09	M8516	male	0.35204540784323	0.35204540784323	0.704090815686459
28	08-22 10c03	ten-cell	2019-08-22	F8520	female	0.693932376713675	0	0.693932376713675
29	09-02 10p08	pooled	2019-09-02	M8518	male	0.392313193495422	8.95326934064023	9.34558253413565
30	09-16 10p06	pooled	2019-09-16	F8519	female	0	0	0
31	09-18 10c03	ten-cell	2019-09-18	F8519	female	1.22656571712468	0	1.22656571712468
32	09-23 10c07	ten-cell	2019-09-23	F8519	female	0.818630432625951	0.818630432625951	1.6372608652519
33	07-09 10c03	ten-cell	2019-07-09	M8516	male	0	0	0
34	07-09 10c04	ten-cell	2019-07-09	M8516	male	0.362714067429997	0	0.362714067429997
35	08-15 10p06	pooled	2019-08-15	F8520	female	1.3236047391143	0	1.3236047391143
36	08-15 10p02	pooled	2019-08-15	F8520	female	0	0	0
37	08-22 10c04	ten-cell	2019-08-22	F8520	female	2.07019826418132	1.04717628728788	3.1173745514692
38	08-22 10p05	pooled	2019-08-22	F8520	female	0	7.50062104457339	7.50062104457339
39	08-28 10c02	ten-cell	2019-08-28	M8518	male	0	0	0
40	09-02 10c01	ten-cell	2019-09-02	M8518	male	0	8.83554988604635	8.83554988604635
41	09-04 10p03	pooled	2019-09-04	M8518	male	0.330043587903999	5.40549099857939	5.73553458648339
42	09-23 10p01	pooled	2019-09-23	F8519	female	0	0	0
43	09-23 10p03	pooled	2019-09-23	F8519	female	0	5.40341857778441	5.40341857778441
44	08-15 10p01	pooled	2019-08-15	F8520	female	0	0	0
45	08-22 10p02	pooled	2019-08-22	F8520	female	0	0	0
46	09-16 10c02	ten-cell	2019-09-16	F8519	female	0	0	0
47	08-12 10c07	ten-cell	2019-08-12	F8520	female	0	0	0
48	09-23 10c04	ten-cell	2019-09-23	F8519	female	0	8.75170853775055	8.75170853775055
49	09-18 10c02	ten-cell	2019-09-18	F8519	female	0.995426156832806	7.79823372132565	8.79365987815845
50	09-23 10c03	ten-cell	2019-09-23	F8519	female	1.82690186957448	4.83368120952876	6.66058307910325
51	09-16 10c06	ten-cell	2019-09-16	F8519	female	0	3.95908395147361	3.95908395147361
52	07-07 10c04	ten-cell	2019-07-07	M8516	male	2.56157876560086	4.77210911552845	7.33368788112931
53	07-07 10c03	ten-cell	2019-07-07	M8516	male	4.29330511175348	0.518760236140508	4.81206534789399
54	08-15 10c01	ten-cell	2019-08-15	F8520	female	4.3652362644535	8.19642529560435	12.5616615600578
55	09-02 10c05	ten-cell	2019-09-02	M8518	male	0	9.72859650330051	9.72859650330051
56	09-02 10c06	ten-cell	2019-09-02	M8518	male	0	0	0
57	09-16 10c09	ten-cell	2019-09-16	F8519	female	1.04437718038881	7.54309580698163	8.58747298737044
58	07-07 10c01	ten-cell	2019-07-07	M8516	male	0	2.23835655624416	2.23835655624416
59	07-07 10p05	pooled	2019-07-07	M8516	male	0.956175311024901	7.52431506393993	8.48049037496484
60	08-28 10c06	ten-cell	2019-08-28	M8518	male	0	1.35270938895607	1.35270938895607
61	08-28 10p04	pooled	2019-08-28	M8518	male	0.760662605637586	5.71083056459931	6.4714931702369
62	09-02 10c08	ten-cell	2019-09-02	M8518	male	0	0.349005660940543	0.349005660940543
63	09-02 10c10	ten-cell	2019-09-02	M8518	male	0.310402138929851	0	0.310402138929851
64	07-09 10c08	ten-cell	2019-07-09	M8516	male	0	4.68255710124458	4.68255710124458
65	07-09 10p03	pooled	2019-07-09	M8516	male	0	0	0
66	07-16 10p04	pooled	2019-07-16	M8516	male	0	0.299812911500208	0.299812911500208
67	07-16 10p07	pooled	2019-07-16	M8516	male	2.7541742947501	0.96921667915533	3.72339097390543
68	08-12 10c01	ten-cell	2019-08-12	F8520	female	0	0	0
69	08-12 10c02	ten-cell	2019-08-12	F8520	female	2.4275106743632	5.39809901673759	7.82560969110079
70	08-12 10p02	pooled	2019-08-12	F8520	female	2.46475744154288	9.87570798292333	12.3404654244662
71	08-12 10p05	pooled	2019-08-12	F8520	female	1.74217390839565	7.44562934400961	9.18780325240526
72	09-02 10p06	pooled	2019-09-02	M8518	male	0	7.42622024640958	7.42622024640958
73	09-16 10p05	pooled	2019-09-16	F8519	female	3.74782661863941	0	3.74782661863941
