Xkr4	1	3205901	3671498
Gm18956	1	3252757	3253236
Gm7341	1	3531795	3532720
Rp1	1	3999557	4409241
Gm6101	1	4256234	4260519
Sox17	1	4490931	4497354
Gm7357	1	4522905	4526737
Gm38076	1	4534837	4535286
Gm7369	1	4610471	4611406
Gm6085	1	4687934	4689403
Gm6119	1	4692219	4693424
Gm2053	1	4735046	4735676
Gm6123	1	4771131	4772199
Mrpl15	1	4773206	4785739
Lypla1	1	4807788	4848410
Gm37988	1	4807892	4886770
Tcea1	1	4857814	4897909
Gm6104	1	4880049	4880651
Rgs20	1	4909576	5070285
Gm17100	1	4927028	4927299
Gm17101	1	5063060	5064647
Atp6v1h	1	5070018	5162529
Gm7182	1	5276106	5277337
Oprk1	1	5588466	5606131
Gm36965	1	5617837	5618230
Npbwr1	1	5913707	5917398
Gm19214	1	6048963	6050045
Rb1cc1	1	6206197	6276648
Alkal1	1	6359218	6394731
Gm2147	1	6380394	6381032
Gm7417	1	6382634	6383106
Gm19026	1	6429655	6441296
St18	1	6487231	6860940
Gm7449	1	6910560	6911222
Gm37108	1	6916559	6923588
Gm37275	1	6929759	6929788
Gm37225	1	6998217	6998541
Gm37489	1	7013762	7013920
Gm5694	1	7035915	7037217
Pcmtd1	1	7088920	7173628
Gm26983	1	7136199	7136586
Gm9826	1	7177739	7179037
Nras-ps2	1	7189742	7189919
Gm19002	1	7315451	7316462
Gm18984	1	7410679	7411993
Gm37791	1	7591646	7591931
Gm7470	1	7597379	7599473
Rps2-ps2	1	7664081	7664961
Gm38216	1	7728861	7730565
Sntg1	1	8361475	9299878
Gm16284	1	8468426	8468825
Gm15452	1	8791923	8792162
Gm36964	1	8815842	8816039
Gm6152	1	8855928	8856267
Gm7445	1	8856763	8857102
Gm7493	1	8962996	8963621
Gm38008	1	9258617	9259134
Gm6187	1	9396773	9398687
Gm18299	1	9439741	9440376
Gm7512	1	9450579	9451748
Gm18300	1	9499338	9501522
Rrs1	1	9545408	9547455
Adhfe1	1	9547948	9580673
Gm6161	1	9574548	9575649
3110035E14Rik	1	9601199	9627143
Mybl1	1	9667415	9700209
Vcpip1	1	9718622	9748382
Sgk3	1	9798107	9900845
Gm6195	1	9802197	9802553
Mcmdc2	1	9908638	9942085
Tcf24	1	9960163	9967932
Ppp1r42	1	9968624	10009136
Cops5	1	10024601	10038168
Cspp1	1	10037987	10136768
Arfgef1	1	10137571	10232670
Cpa6	1	10324720	10719945
Gm15604	1	10554098	10555553
Gm15603	1	10695123	10695614
Gm5522	1	10805281	10806522
Gm28659	1	10868688	10869446
Prex2	1	10993465	11303681
Gm28686	1	11223566	11224174
A830018L16Rik	1	11414105	11975901
Gm29273	1	11608139	11608400
Gm7560	1	12120960	12121832
Gm2383	1	12565577	12566383
Gm6216	1	12655867	12656553
Sulf1	1	12692277	12861192
Slco5a1	1	12866549	12992650
Gm5250	1	13062025	13062345
Prdm14	1	13113457	13127163
Ncoa2	1	13139105	13374083
Gm7593	1	13407012	13407655
Tram1	1	13564698	13589910
Lactb2	1	13623330	13660546
Xkr9	1	13668771	13701723
Gm5523	1	13785883	13786879
Eya1	1	14168954	14310235
Msc	1	14753346	14755992
Smt3h2-ps4	1	14839869	14840156
Rpl5-ps1	1	14865072	14865965
Trpa1	1	14872648	14918862
Gm10566	1	15268802	15269797
Kcnb2	1	15287254	15723750
Gm6060	1	15760122	15760668
Gm28669	1	15760761	15760860
Terf1	1	15805646	15844052
Sbspon	1	15853862	15892722
Gm7634	1	16053335	16053887
4930444P10Rik	1	16065979	16093325
Rpl7	1	16101295	16104662
Rdh10	1	16105774	16133734
Stau2	1	16228674	16520112
Ube2w	1	16540790	16619489
Eloc	1	16641725	16657042
Gm7654	1	16662980	16663662
Tmem70	1	16665207	16678275
Ly96	1	16688051	16709611
Gm29649	1	16758205	16758623
Gm5828	1	16768279	16770138
Jph1	1	16964560	17097889
Gdap1	1	17145362	17164271
Gm28785	1	17250114	17250492
Gm5251	1	17394958	17395429
Rbm6-ps1	1	17397412	17400281
Gm6075	1	17429043	17429528
Pi15	1	17601901	17630939
Crispld1	1	17727045	17766344
Gm7690	1	17947041	17948439
Gm18775	1	17993010	17999622
Gm17969	1	17993813	17997483
Gm28755	1	18005961	18016186
Gm45784	1	18048100	18058269
Crisp4	1	18115191	18145902
Defb44-ps	1	18210053	18223564
Defb18	1	18236473	18237443
Defb41	1	18250980	18265138
Gm17837	1	18262395	18263379
Gm5252	1	18708428	18709336
Gm28343	1	19037266	19037377
Gm28344	1	19062857	19063135
Tfap2d	1	19103022	19166346
Gm10075	1	19153422	19153966
Tfap2b	1	19208914	19238576
Gm28341	1	19320226	19320697
Gm4849	1	19330939	19333184
Pkhd1	1	20057779	20618064
Gm15795	1	20444258	20444810
Il17a	1	20730905	20734496
Il17f	1	20777146	20790617
Mcm3	1	20802968	20820312
Gm20587	1	20821331	20822516
Paqr8	1	20890606	20939650
Gm28064	1	20945711	20946914
Efhc1	1	20951626	20990841
Tram2	1	20996299	21079229
Gm2693	1	21178988	21187427
Tmem14a	1	21218575	21230167
Gsta3	1	21240589	21265661
Gm7094	1	21272403	21272906
Gm4956	1	21285246	21298312
Gm21909	1	21312517	21316320
Khdc1a	1	21349641	21352200
Gm16329	1	21354005	21355116
Gm16327	1	21364803	21365030
Khdc1c	1	21368331	21370845
Gm2709	1	21372670	21373764
Gm16533	1	21379555	21379782
Khdc1b	1	21383556	21386373
Gm16328	1	21390906	21391101
Kcnq5	1	21398403	21961942
Gm7658	1	21511933	21513056
Gm5696	1	22030064	22030615
